Time,Dollar Value,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs,Dollar Sales
 01-10-16,2036609.148,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 01-17-16,1971962.786,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 01-24-16,2429145.009,no,no,no,yes,yes,Sales > $2.20Mn
 01-31-16,1958804.182,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 02-07-16,3184953.525,yes,no,no,no,no,Sales > $2.20Mn
 02-14-16,1745529.439,no,no,no,no,no,Sales < $1.82Mn
 02-21-16,1773668.371,no,no,yes,no,no,Sales < $1.82Mn
 02-28-16,1788815.756,no,no,yes,no,no,Sales < $1.82Mn
 03-06-16,1948331.388,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-13-16,2118283.946,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-20-16,2373320.551,no,no,no,no,no,Sales > $2.20Mn
 03-27-16,2506518.348,no,no,no,no,no,Sales > $2.20Mn
 04-03-16,2239104.493,no,no,no,no,no,Sales > $2.20Mn
 04-10-16,1932962.748,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 04-17-16,1981816.474,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-24-16,1859743.778,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-01-16,2032883.789,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-08-16,2111153.18,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-15-16,2173967.825,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-22-16,2202325.102,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-29-16,3069028.184,no,no,no,yes,no,Sales > $2.20Mn
 06-05-16,2385744.16,no,no,no,yes,no,Sales > $2.20Mn
 06-12-16,2089038.871,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 06-19-16,2191162.774,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 06-26-16,2210739.13,no,no,no,yes,no,Sales > $2.20Mn
 07-03-16,3235684.598,no,no,no,no,no,Sales > $2.20Mn
 07-10-16,2348274.667,no,no,no,no,yes,Sales > $2.20Mn
 07-17-16,2134743.519,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 07-24-16,2237769.522,no,no,no,no,no,Sales > $2.20Mn
 07-31-16,1900268.624,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-07-16,2209550.512,no,no,no,yes,no,Sales > $2.20Mn
 08-14-16,2370937.017,no,no,no,yes,no,Sales > $2.20Mn
 08-21-16,2316770.743,no,no,no,yes,no,Sales > $2.20Mn
 08-28-16,2655257.099,no,no,no,no,no,Sales > $2.20Mn
 09-04-16,3487172.864,yes,no,no,no,no,Sales > $2.20Mn
 09-11-16,2589730.993,no,no,no,no,no,Sales > $2.20Mn
 09-18-16,2169238.299,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-25-16,1914270.287,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-02-16,2059073.125,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-09-16,1923818.577,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 10-16-16,2212044.156,no,no,no,no,no,Sales > $2.20Mn
 10-23-16,2018327.173,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-30-16,1999240.665,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-06-16,2125373.135,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-13-16,2014756.153,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-20-16,1908510.982,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-27-16,415700.8809,no,no,no,yes,no,Sales < $1.82Mn
